@relation ALL_AML_SignificantGenes_NoID.train-fixed.arff

@attribute M55150_at numeric
@attribute X95735_at numeric
@attribute U50136_rna1_at numeric
@attribute U22376_cds2_s_at numeric
@attribute M81933_at numeric
@attribute M16038_at numeric
@attribute M84526_at numeric
@attribute M23197_at numeric
@attribute U82759_at numeric
@attribute Y12670_at numeric
@attribute D49950_at numeric
@attribute M27891_at numeric
@attribute X59417_at numeric
@attribute X52142_at numeric
@attribute M28170_at numeric
@attribute X17042_at numeric
@attribute U05259_rna1_at numeric
@attribute Y00787_s_at numeric
@attribute M96326_rna1_at numeric
@attribute U12471_cds1_at numeric
@attribute U46751_at numeric
@attribute M80254_at numeric
@attribute M92287_at numeric
@attribute L13278_at numeric
@attribute U09087_s_at numeric
@attribute L08246_at numeric
@attribute X74262_at numeric
@attribute M62762_at numeric
@attribute M31211_s_at numeric
@attribute M28130_rna1_s_at numeric
@attribute D26156_s_at numeric
@attribute M63138_at numeric
@attribute M31523_at numeric
@attribute M57710_at numeric
@attribute X15949_at numeric
@attribute M69043_at numeric
@attribute S50223_at numeric
@attribute U32944_at numeric
@attribute M81695_s_at numeric
@attribute L47738_at numeric
@attribute M83652_s_at numeric
@attribute X85116_rna1_s_at numeric
@attribute M11147_at numeric
@attribute Z15115_at numeric
@attribute M21551_rna1_at numeric
@attribute M19045_f_at numeric
@attribute X04085_rna1_at numeric
@attribute L49229_f_at numeric
@attribute X14008_rna1_f_at numeric
@attribute M91432_at numeric
@attribute X63469_at numeric
@attribute D38073_at numeric
@attribute U26266_s_at numeric
@attribute J05243_at numeric
@attribute M31303_rna1_at numeric
@attribute Y08612_at numeric
@attribute U20998_at numeric
@attribute AF012024_s_at numeric
@attribute X56411_rna1_at numeric
@attribute U29175_at numeric
@attribute HG1612-HT1612_at numeric
@attribute M13792_at numeric
@attribute D63874_at numeric
@attribute U72342_at numeric
@attribute X97267_rna1_s_at numeric
@attribute X76648_at numeric
@attribute U35451_at numeric
@attribute Z69881_at numeric
@attribute D63880_at numeric
@attribute Class {ALL,AML}

@data
680,20,626,2853,46,34,20,140,306,174,38,20,6541,69,20,1343,147,1278,737,195,587,40,6134,36,89,733,953,1870,897,189,1913,1471,617,20,27,2561,441,282,461,2147,20,139,6027,2525,267,969,628,20,833,472,225,884,526,1587,3352,492,2016,132,107,1972,4406,8630,7021,686,703,512,745,2744,551,ALL
412,408,747,551,44,399,41,287,20,258,20,107,846,20,84,5252,2504,3684,1296,104,1347,267,2056,20,37,2095,209,1030,334,1855,329,1763,474,988,20,7901,90,277,494,140,252,530,15280,1277,20,3939,294,20,4009,76,43,314,60,169,2290,119,426,54,20,219,1379,1695,4036,20,672,90,20,291,198,ALL
548,724,706,4746,192,281,20,152,87,201,103,20,7743,269,87,2408,5075,116,160,150,1489,70,10669,170,283,1405,1624,1482,668,20,1593,786,1969,20,588,3602,545,2069,315,556,20,182,6183,6216,268,210,1220,207,93,920,495,1991,673,719,4751,393,2151,89,153,1322,6964,4765,12920,1354,3260,827,810,3578,550,ALL
1157,360,864,1534,77,589,20,145,188,180,72,820,1756,159,155,2525,155,94,838,135,1784,136,1912,188,179,742,2050,892,265,20,1011,2337,686,389,307,1204,570,1613,1030,1483,493,452,13077,3382,20,3633,662,290,3576,606,442,1062,308,859,2346,416,2263,199,206,732,2056,3529,6555,901,5964,679,404,1706,694,ALL
387,938,515,5311,96,854,20,81,99,625,158,76,7288,499,371,2133,5767,29,520,128,2286,135,9211,217,314,1718,1995,1306,898,91,1763,2035,2572,20,747,2859,571,2952,333,1505,114,304,8506,5831,64,735,1990,513,637,1417,522,1030,929,661,3347,651,2901,147,56,1636,3688,9000,11506,905,6147,1426,547,2041,1287,ALL
707,848,825,4326,120,289,20,202,67,330,28,36,6084,260,360,1232,3649,38,478,182,944,20,3345,240,106,623,1625,593,666,73,2065,1910,1439,20,393,1259,235,3110,426,904,20,540,3720,5617,160,637,1143,190,635,869,467,675,698,1034,3207,278,2523,182,225,2076,2976,10227,11089,909,3774,1578,72,3847,475,ALL
1822,926,1837,7155,98,534,20,286,20,784,117,375,2455,214,20,1150,218,282,20,227,1888,184,2360,254,335,1016,3139,2376,374,20,1778,4215,989,20,822,2689,352,2591,588,643,78,1263,12676,3714,363,973,2474,214,817,2031,485,1731,1060,447,6633,623,3297,358,234,917,3182,8469,13775,1024,3511,660,665,8578,883,ALL
738,390,883,1178,89,540,20,141,102,314,99,22,1273,20,195,1232,3339,136,20,157,2111,20,1316,32,119,1198,882,542,516,41,764,711,1186,944,515,2753,20,820,666,669,20,203,9783,1616,333,1263,220,20,1631,954,472,762,358,252,2143,198,954,20,255,453,2209,2091,4845,171,1654,541,726,111,1281,ALL
907,615,1309,3427,82,44,20,155,432,146,101,20,6482,184,285,1519,2696,20,45,290,1983,20,2492,200,91,1010,1459,809,473,20,1448,1346,1224,343,339,815,84,1116,250,1137,20,1074,4453,4692,279,694,1271,45,846,532,156,800,310,1041,2291,251,1146,65,82,1660,2580,2273,8499,493,2352,1225,95,576,256,ALL
860,827,817,6870,120,616,20,180,359,636,22,205,7629,326,470,180,8148,119,20,70,2731,20,6464,338,268,1969,4253,2475,1487,242,2191,2273,4555,950,748,2233,867,5908,284,3810,20,1071,13988,11241,117,888,4004,312,883,3192,629,1158,1047,1717,5933,847,4700,128,308,2174,10857,12217,13830,1224,4281,3081,767,5796,568,ALL
92,68,383,9177,161,447,20,139,149,371,48,20,5746,122,514,1912,2805,118,343,39,1962,34,524,119,20,1377,768,1514,688,184,768,545,2707,64,201,5193,323,1143,137,1631,82,675,2900,9114,152,447,1781,37,560,896,256,1185,20,604,2306,689,2914,123,183,3707,1535,2973,16000,353,20,1620,600,20,454,ALL
686,122,825,4836,111,239,20,124,160,180,74,20,699,20,95,354,5397,206,678,126,1739,20,3253,20,30,791,176,1977,143,155,1323,949,274,88,48,1026,241,108,401,857,20,177,6074,2572,265,527,350,184,886,70,104,141,20,304,2131,290,1000,20,39,295,4624,1743,9604,128,1075,532,247,1628,43,ALL
803,20,731,3085,22,20,20,108,366,780,43,425,2443,142,53,178,870,146,1177,74,585,30,3796,85,334,596,862,672,376,148,1992,1297,590,20,20,740,493,146,613,813,121,417,3729,1601,20,1820,431,93,1525,321,172,767,395,397,4677,199,1122,98,113,1377,3710,12805,5479,136,834,303,442,1962,613,ALL
803,222,899,5815,20,515,20,102,770,655,168,20,3840,277,418,1687,5955,185,734,205,1571,209,4093,191,204,868,1409,1235,531,20,1210,1343,1823,20,598,2785,502,2457,513,899,20,300,6023,6110,392,71,3970,424,108,992,494,1145,651,642,3182,569,2298,93,232,1456,5079,5981,12848,740,1826,1463,621,1306,298,ALL
842,700,1171,1872,113,50,20,203,267,402,20,20,3878,20,391,3711,5070,9270,502,144,1395,20,1689,20,81,635,489,933,481,4271,738,1371,553,560,163,14011,301,1081,439,223,20,559,13278,2242,305,515,747,77,512,363,162,521,166,295,2910,292,498,153,95,404,2302,2425,5613,20,1168,416,116,892,231,ALL
514,433,805,3265,52,268,20,128,59,190,117,66,3262,105,495,1750,8219,183,29,98,1437,20,5204,20,109,827,716,1114,647,29,2143,1330,1909,43,169,2381,101,1480,416,759,20,342,4718,3074,330,304,773,20,441,636,348,700,190,1122,2648,424,753,121,297,1982,2106,3323,10573,295,4314,1134,96,2452,306,ALL
561,20,1286,2877,20,483,20,84,20,273,20,34,1810,109,219,291,4184,150,176,143,990,20,2581,79,139,190,500,20,145,20,1245,2127,1076,20,104,569,20,1283,430,899,20,20,4110,5374,64,2331,115,170,1976,419,217,456,201,209,2818,517,672,90,291,949,3307,2617,4578,220,1813,477,291,760,433,ALL
1811,2947,2402,1126,179,1674,4830,1450,652,1807,355,1537,782,20,20,8518,711,8054,13464,293,4719,59,498,20,34,3127,279,3236,153,3693,302,5587,299,394,35,13338,56,427,1702,20,1338,727,12406,2271,405,4259,5878,20,4192,263,181,238,282,206,1647,200,407,28,121,454,624,911,5817,20,270,110,208,784,226,AML
1406,1050,2137,880,214,735,20,781,262,1038,295,1481,490,20,67,3628,654,216,1233,322,1106,72,165,20,48,853,336,1125,20,20,201,3909,389,72,79,2306,168,288,1137,218,565,1639,7855,1082,327,2517,2140,38,2327,226,74,382,43,20,2195,86,529,50,33,391,680,2551,5407,117,1084,209,57,406,20,AML
1707,4863,3965,473,179,2727,4573,970,618,1051,283,16000,1648,20,20,10603,20,16000,7955,337,5868,692,1309,22,74,6159,194,4647,88,11517,667,12358,126,5940,71,16000,20,295,2014,20,2892,1096,16000,2007,485,15519,5162,20,15761,87,202,245,64,20,1885,209,697,29,20,412,1031,1297,4490,259,20,358,214,118,410,AML
2072,2612,2539,186,330,2399,6759,408,805,1064,311,13296,528,20,20,8479,218,16000,9933,417,6903,672,852,20,52,5503,130,3808,139,12979,697,7125,190,6247,20,12115,20,224,2683,20,157,3397,16000,802,415,13221,2887,93,13087,183,20,267,20,87,1359,253,786,98,81,393,1687,753,3763,20,183,254,149,43,185,AML
1753,1671,2286,680,407,784,1569,275,673,2538,70,1661,99,20,20,1285,251,10043,2676,271,7061,307,1484,20,33,2083,51,3594,75,5072,721,2275,275,6530,64,5902,62,230,974,201,20,4465,16000,939,582,2702,4681,20,1663,111,20,342,20,71,1291,199,845,41,94,286,1367,2708,6604,20,664,550,195,214,118,AML
1929,2224,1641,794,313,679,20,316,822,733,297,1073,1203,20,20,7858,20,15202,548,238,7113,373,1283,20,91,6718,596,2702,300,10476,893,4214,353,159,64,13895,107,384,1147,449,1179,2274,16000,1238,456,2475,3077,20,1953,323,28,832,151,102,2176,292,824,43,20,429,2194,2493,6978,32,739,214,209,172,279,AML
1647,3348,2545,1312,243,1305,6569,555,1137,1296,190,6962,1561,20,35,8859,412,3104,16000,217,3717,550,1525,20,58,1766,309,1736,237,1653,624,2558,279,5824,35,1908,150,179,478,65,868,2195,11012,967,259,3605,6000,20,4063,125,178,294,66,237,1486,151,1174,50,20,314,460,487,4206,173,574,514,29,371,277,AML
2112,6218,3818,485,229,2694,7372,1130,1050,647,326,14555,1628,20,20,11003,343,6506,9994,213,11618,425,811,20,20,4915,313,3553,100,2971,388,8793,250,7142,20,11990,20,651,2279,172,1537,478,16000,1365,487,6268,5065,60,6612,158,20,148,20,238,730,173,440,20,84,208,1874,769,4642,118,20,147,160,292,136,AML
1555,1548,2943,408,132,1028,4833,1338,1157,1085,197,7238,1784,20,20,5849,272,2096,7791,283,1262,82,1032,60,61,2056,275,3255,192,688,432,4630,381,499,23,9866,31,469,754,239,1675,983,12276,1568,554,7035,7260,56,7821,295,115,309,20,57,3719,119,651,45,20,385,767,1614,3998,20,788,159,223,248,321,AML
1514,3297,2535,1047,230,2680,141,774,1083,1467,259,12339,1214,20,20,3259,306,12715,976,264,3088,619,1024,34,50,4136,311,4249,339,7108,706,7373,671,1853,59,10899,210,328,978,683,657,1017,16000,1843,462,7969,2027,88,5778,368,136,259,192,628,1985,185,660,68,127,688,2856,4148,2793,249,2009,165,293,618,283,AML
2693,3482,1373,335,282,3223,2000,443,1099,1513,100,3654,1583,20,20,8855,20,16000,4108,304,5749,864,1827,20,20,4126,20,1871,59,13176,736,2771,200,6704,33,14090,20,133,1690,153,562,1999,16000,936,672,13195,3072,20,13076,110,63,256,20,20,1528,172,580,20,47,248,2205,1446,2823,380,146,307,73,20,151,AML
